SNo,ObservationDate,Province/State,Country/Region,Confirmed,Deaths,Recovered
36,07/15/2020,Andaman and Nicobar Islands,India,176,0,130
37,07/16/2020,Andaman and Nicobar Islands,India,180,0,133
38,07/17/2020,Andaman and Nicobar Islands,India,194,0,142
39,07/18/2020,Andaman and Nicobar Islands,India,198,0,145
40,07/19/2020,Andaman and Nicobar Islands,India,203,0,145
41,07/20/2020,Andaman and Nicobar Islands,India,207,0,152
42,07/21/2020,Andaman and Nicobar Islands,India,212,0,159
43,07/22/2020,Andaman and Nicobar Islands,India,221,0,163
44,07/23/2020,Andaman and Nicobar Islands,India,240,0,170
45,07/24/2020,Andaman and Nicobar Islands,India,259,0,174
46,07/25/2020,Andaman and Nicobar Islands,India,290,0,176
47,07/26/2020,Andaman and Nicobar Islands,India,324,0,182
48,07/27/2020,Andaman and Nicobar Islands,India,338,1,192
49,07/28/2020,Andaman and Nicobar Islands,India,338,1,192
50,07/29/2020,Andaman and Nicobar Islands,India,363,1,196
51,07/30/2020,Andaman and Nicobar Islands,India,428,2,201
52,07/31/2020,Andaman and Nicobar Islands,India,548,5,214
53,08/01/2020,Andaman and Nicobar Islands,India,636,7,226
54,08/02/2020,Andaman and Nicobar Islands,India,734,8,242
55,08/03/2020,Andaman and Nicobar Islands,India,830,10,263
56,08/04/2020,Andaman and Nicobar Islands,India,928,12,277
57,08/05/2020,Andaman and Nicobar Islands,India,1027,14,326
58,08/06/2020,Andaman and Nicobar Islands,India,1123,16,355
59,08/07/2020,Andaman and Nicobar Islands,India,1222,19,425
60,08/08/2020,Andaman and Nicobar Islands,India,1351,20,500
61,08/09/2020,Andaman and Nicobar Islands,India,1490,20,648
62,08/10/2020,Andaman and Nicobar Islands,India,1625,20,709
63,08/11/2020,Andaman and Nicobar Islands,India,1764,21,749
64,08/12/2020,Andaman and Nicobar Islands,India,1900,21,829
65,08/13/2020,Andaman and Nicobar Islands,India,2037,22,924
66,08/14/2020,Andaman and Nicobar Islands,India,2186,24,1032
67,08/15/2020,Andaman and Nicobar Islands,India,2306,24,1128
68,08/16/2020,Andaman and Nicobar Islands,India,2399,28,1226
69,08/17/2020,Andaman and Nicobar Islands,India,2445,29,1325
70,08/18/2020,Andaman and Nicobar Islands,India,2529,30,1421
71,08/19/2020,Andaman and Nicobar Islands,India,2604,30,1529
72,08/20/2020,Andaman and Nicobar Islands,India,2680,31,1638
73,08/21/2020,Andaman and Nicobar Islands,India,2747,32,1744
74,08/22/2020,Andaman and Nicobar Islands,India,2808,32,1853
75,08/23/2020,Andaman and Nicobar Islands,India,2860,33,1963
76,08/24/2020,Andaman and Nicobar Islands,India,2904,35,2092
77,08/25/2020,Andaman and Nicobar Islands,India,2945,37,2231
78,08/26/2020,Andaman and Nicobar Islands,India,2985,41,2309
79,08/27/2020,Andaman and Nicobar Islands,India,3018,42,2374
80,08/28/2020,Andaman and Nicobar Islands,India,3050,42,2444
81,08/29/2020,Andaman and Nicobar Islands,India,3081,44,2519
82,08/30/2020,Andaman and Nicobar Islands,India,3104,45,2586
83,08/31/2020,Andaman and Nicobar Islands,India,3132,46,2647
84,09/01/2020,Andaman and Nicobar Islands,India,3160,46,2714
85,09/02/2020,Andaman and Nicobar Islands,India,3186,47,2758
86,09/03/2020,Andaman and Nicobar Islands,India,3223,48,2823
87,09/04/2020,Andaman and Nicobar Islands,India,3257,49,2863
88,09/05/2020,Andaman and Nicobar Islands,India,3292,50,2904
89,09/06/2020,Andaman and Nicobar Islands,India,3332,50,2951
90,09/07/2020,Andaman and Nicobar Islands,India,3359,50,2997
91,09/08/2020,Andaman and Nicobar Islands,India,3392,50,3035
92,09/09/2020,Andaman and Nicobar Islands,India,3426,51,3078
93,09/10/2020,Andaman and Nicobar Islands,India,3465,51,3121
94,09/11/2020,Andaman and Nicobar Islands,India,3494,51,3157
95,09/12/2020,Andaman and Nicobar Islands,India,3521,51,3202
96,09/13/2020,Andaman and Nicobar Islands,India,3546,51,3243
97,09/14/2020,Andaman and Nicobar Islands,India,3546,51,3243
98,09/15/2020,Andaman and Nicobar Islands,India,3574,52,3318
99,09/16/2020,Andaman and Nicobar Islands,India,3593,52,3345
